ISIN;PAYS_RISQUE;CATEG_ISSUER;RATING;NIV_SENIORITE;ISSUER;NIV_SUBORDINATION;CATEGORIE_1;CATEGORIE_2;CATEGORIE_3;MATURITE;MATURITE_CALL;NAME;CPN;FRQ;ISSUER_DATE;INDICE;DATE_ACHAT;YIELD_ACHAT;SUB_DATE_RBST;SUBORD;BASE_INDICE;FLOATER;MONETAIRE
XS1000918018;France;Corporate;18;;Louis Dreyfus;NS;poche_obligations;Obligations_credit;Obligations_credit;12/04/2020;17/10/2022;Louis Dreyfus 4%  12/2020;4;1;04/12/2014;;19/05/2015;2.964999914;17/10/2022;;0;0;0
XS1032978345;USA;Finance;8;;Goldman Sachs;NS;poche_obligations;Obligations_credit;Obligations_credit;18/10/2021;17/10/2022;Goldman Sachs 2.5%  10/2021;2.5;1;18/10/2014;;21/05/2015;1.16869998;17/10/2022;;0;0;0
LU0212993595;;;;;;;poche_actions_europe;OPCVM_actions_europe;OPCVM_Europe;;;;;;;;;;;;;0;0
LU0095827381;;;;;;;poche_actions_europe;OPCVM_actions_europe;OPCVM_Europe;;;;;;;;;;;;;0;0
IT0005090318;Italie;poche_obligation;9;0;ITALY;NS;poche_obligations;Obligations_govies;Obligations_govies_nominales;01/06/2025;01/06/2025;BTP 1.5%  01/06/25;1.5;2;01/06/2015;;08/12/2015;1;26/02/2021;;0;0;0
USF8586CAM4S;France;Finance;6;0;Société Générale;NS;poche_obligations;Obligations_credit;Obligations_credit_swap;01/06/2025;01/06/2025;SWAP SG 3.5 15/01/2016;3.5;2;15/07/2011;;08/12/2015;3.599900007;26/02/2021;0;0;0;0
USL2967VEB7S;Italie;Corporate;9;;Enel;;poche_obligations;Obligations_credit;Obligations_credit_swap;07/10/2014;07/10/2014;ENEL FINANCE INTERNATIONAL 3,875% 07/10/14;3.875;2;07/04/2010;;30/07/2011;4.25;07/10/2014;;0;0;0
US05568HAA33;France;Finance;9;;BNP Paribas;;poche_obligations;Obligations_credit;Obligations_credit;24/06/2015;24/06/2015;BNP PARIBAS 4,8% 24/06/2015;4.8;2;24/06/2005;;24/12/2005;0;24/06/2015;;0;0;0
US05568HAA3S;France;Finance;9;;BNP Paribas;;poche_obligations;Obligations_credit;Obligations_credit_swap;24/06/2015;24/06/2015;BNP PARIBAS 4,8% 24/06/2015;4.8;2;24/06/2005;;24/12/2005;0;24/06/2015;;0;0;0
US87927VAL2S;Italie;Corporate;11;;Telecom Italia;;poche_obligations;Obligations_credit;Obligations_credit_swap;30/09/2014;30/09/2014;TITIM 4,95 2014;4.95;2;30/03/2006;;30/03/2006;0;30/09/2014;;0;0;0
GRS352003008;;;;;;;poche_actions_europe;poche_actions_europe_GD;GD_actions_europe_hors_trackers;;;;;;;;;;;;;0;0
BE0005632063;;;;;;;poche_actions_europe;poche_actions_europe_GD;GD_actions_europe_hors_trackers;;;;;;;;;;;;;0;0
A10070;;;;;;;Alternatif;private;private;;;;;;;;;;;;;0;0
XS1144084099;USA;Corporate;8;;AT&T;;poche_obligations;Obligations_credit;Obligations_credit;04/06/2019;;AT&T Float 06/04/19;0.462;4;02/12/2014;;23/02/2016;;;;0;1;0
FR0013084407;;;;;;;poche_actions_europe;OPCVM_actions_europe;OPCVM_Europe;;;;;;;;;;;;;0;0
LU1308664413;;;;;;;OPCVM_hors_europe;OPCVM_USA;OPCVM_USA;;;;;;;;;;;;;0;0
A10066;;;;;;;Alternatif;private;private;;;;;;;;;;;;;0;0
